,0
0,"April 30, 1789[d]–March 4, 1797"
1,"March 4, 1797–March 4, 1801"
2,"March 4, 1801–March 4, 1809"
3,"George ClintonMarch 4, 1805 – March 4, 1809"
4,"March 4, 1809–March 4, 1817"
5,"Elbridge GerryMarch 4, 1813 – November 23, 1814(Died in office)"
6,"March 4, 1817–March 4, 1825"
7,"March 4, 1825–March 4, 1829"
8,"March 4, 1829–March 4, 1837"
9,"Martin Van BurenMarch 4, 1833 – March 4, 1837"
10,"March 4, 1837–March 4, 1841"
11,"March 4, 1841–April 4, 1841(Died in office)"
12,"April 4, 1841[i]–March 4, 1845"
13,"UnaffiliatedSeptember 13, 1841 – March 4, 1845[j]"
14,"March 4, 1845–March 4, 1849"
15,"March 4, 1849–July 9, 1850(Died in office)"
16,"July 9, 1850[k]–March 4, 1853"
17,"March 4, 1853–March 4, 1857"
18,"March 4, 1857–March 4, 1861"
19,"March 4, 1861–April 15, 1865(Died in office)"
20,1864
21,"April 15, 1865–March 4, 1869"
22,"Democraticc. 1868 – March 4, 1869[m]"
23,"March 4, 1869–March 4, 1877"
24,"Henry WilsonMarch 4, 1873 – November 22, 1875(Died in office)"
25,"March 4, 1877–March 4, 1881"
26,"March 4, 1881–September 19, 1881(Died in office)"
27,"September 19, 1881[n]–March 4, 1885"
28,"March 4, 1885–March 4, 1889"
29,"March 4, 1889–March 4, 1893"
30,"March 4, 1893–March 4, 1897"
31,"March 4, 1897–September 14, 1901(Died in office)"
32,"Theodore RooseveltMarch 4 – September 14, 1901(Succeeded to presidency)"
33,"September 14, 1901–March 4, 1909"
34,"Charles W. FairbanksMarch 4, 1905 – March 4, 1909"
35,"March 4, 1909–March 4, 1913"
36,"March 4, 1913–March 4, 1921"
37,"March 4, 1921–August 2, 1923(Died in office)"
38,"August 2, 1923[o]–March 4, 1929"
39,"Charles G. DawesMarch 4, 1925 – March 4, 1929"
40,"March 4, 1929–March 4, 1933"
41,"March 4, 1933–April 12, 1945(Died in office)"
42,"Henry A. WallaceJanuary 20, 1941 – January 20, 1945"
43,"Harry S. TrumanJanuary 20 – April 12, 1945(Succeeded to presidency)"
44,"April 12, 1945–January 20, 1953"
45,"Alben W. BarkleyJanuary 20, 1949 – January 20, 1953"
46,"January 20, 1953–January 20, 1961"
47,"January 20, 1961–November 22, 1963(Died in office)"
48,"November 22, 1963–January 20, 1969"
49,"Hubert HumphreyJanuary 20, 1965 – January 20, 1969"
50,"January 20, 1969–August 9, 1974(Resigned from office)"
51,"August 9, 1974–January 20, 1977"
52,"January 20, 1977–January 20, 1981"
53,"January 20, 1981–January 20, 1989"
54,"January 20, 1989–January 20, 1993"
55,"January 20, 1993–January 20, 2001"
56,"January 20, 2001–January 20, 2009"
57,"January 20, 2009–January 20, 2017"
58,"January 20, 2017–Incumbent"
